0,1328.271481;
0,4.233101;
0,0.000071;
1,1319.030161;
1,5.814081;
1,1.927489;
1,0.000071;
1,3.125342;
1,9.127045;
1,7.886631;
1,3.422395;
1,9.125502;
1,23.828878;
1,2.527215;
1,17.465148;
1,5.477230;
1,0.827659;
1,0.869912;
1,0.812440;
1,39.039588;
1,20.811712;
1,2.762651;
1,198.604522;
1,7.512467;
1,431.804538;
1,3.902329;
1,24.304592;
1,1.197266;
2,1318.032556;
2,4.658124;
2,0.000077;
2,1.998757;
2,3.783870;
2,5.103942;
2,0.000051;
3,1351.203610;
3,11.591998;
3,0.000046;
3,5.798769;
3,36.059909;
3,1.697240;
3,0.782913;
3,18.917012;
3,1.410044;
3,20.862334;
3,3.546915;
3,7.863157;
3,1.604334;
3,31.212315;
3,1.787066;
3,0.000063;
3,61.994405;
3,1.952400;
3,0.000060;
3,11.317553;
3,272.527607;
3,1.539463;
3,3.224836;
3,1.702581;
3,104.931625;
3,63.164130;
3,26.859229;
3,3.035233;
3,8.854971;
3,36.121874;
3,42.274935;
3,37.421746;
3,27.100192;
3,39.509200;
3,73.234569;
3,45.221417;
3,18.550274;
3,83.398870;
4,1319.680001;
4,10.164043;
4,0.000040;
4,11.898395;
4,2.623950;
4,2.014727;
4,34.309458;
4,3.078126;
4,0.000066;
4,62.377310;
4,1.900812;
4,0.000055;
4,180.388911;
4,1.285569;
4,0.793325;
5,1317.575918;
5,4.593559;
5,3.119112;
5,0.000067;
5,9.680125;
5,2.028580;
5,7.938706;
5,1.968439;
5,0.722513;
5,6.141082;
5,0.982528;
5,10.213521;
5,6.650127;
5,2.845051;
5,15.733706;
5,1.401122;
5,11.627113;
5,1.621912;
5,0.599233;
5,19.838621;
5,0.852426;
5,4.598006;
5,1.472524;
5,1.506998;
5,3.801276;
5,0.873508;
5,9.353398;
5,18.375624;
5,4.562126;
5,5.665955;
5,10.838715;
5,13.899665;
5,1.444945;
5,8.067541;
5,17.408351;
5,0.629997;
5,9.501758;
5,8.280882;
5,12.713426;
5,15.014711;
5,0.612901;
5,2.327914;
5,1.593544;
5,0.651145;
5,6.272882;
5,1.292358;
5,0.816499;
5,1.129194;
5,2.880391;
5,2.498922;
5,2.772192;
5,1.838817;
5,0.785799;
5,0.433684;
5,0.320309;
5,0.300038;
5,0.288083;
5,7.317632;
5,10.330392;
5,0.672231;
5,23.111417;
5,10.520506;
5,0.715976;
5,0.624329;
5,0.749212;
5,0.816092;
5,0.924285;
5,0.633702;
5,0.557429;
5,0.469647;
5,1.434404;
5,0.680689;
5,1.107174;
5,4.540599;
5,0.640789;
5,0.496243;
5,0.322859;
5,0.243706;
5,0.290250;
5,12.188674;
5,17.958913;
5,1.846656;
5,1.187289;
5,0.661965;
5,0.765061;
5,6.276028;
5,3.928719;
5,0.677229;
5,6.975518;
5,0.767344;
5,3.840583;
5,1.631297;
5,3.361227;
5,0.884792;
5,5.437733;
5,7.435872;
5,1.511299;
5,12.160793;
5,0.681648;
5,0.515648;
5,1.523939;
5,1.240729;
5,0.985699;
5,0.911654;
