0,541.13817,3,1962.209115
1,123.739512,0,1324.248931
2,0,1,1328.271481
2,4.233101,2,1328.271481
2,7.10E-05,3,1328.271481
3,0,1,1316.563137
3,4.752029,2,1316.563137
3,9.00E-05,3,1316.563137
3,59.370389,4,1316.563137
4,0,1,1316.788015
4,7.442542,2,1316.788015
4,961.32022,3,1316.788015
5,0,1,1276.21757
5,13.966941,2,1276.21757
5,0.000107,3,1276.21757
5,68.608715,4,1276.21757
6,0,1,1320.183531
6,7.844998,2,1320.183531
6,575.656791,3,1320.183531
7,0,1,1510.633433
7,7.194928,2,1510.633433
7,5.40E-05,3,1510.633433
8,0,1,1331.144554
8,9.625817,2,1331.144554
8,8.922007,3,1331.144554
9,0,1,1319.047878
9,7.740155,2,1319.047878
9,1182.308416,3,1319.047878
10,0,1,1314.32387
10,10.964302,2,1314.32387
10,18.790293,3,1314.32387
11,0,1,1330.734916
11,10.26101,2,1330.734916
11,4.20E-05,3,1330.734916
12,0,1,1314.397386
12,3.634744,2,1314.397386
12,7.20E-05,3,1314.397386
12,7.772738,4,1314.397386
13,0,1,1317.871757
13,14.865297,2,1317.871757
13,3.90E-05,3,1317.871757
14,0,1,1315.331684
14,6.857541,2,1315.331684
14,7.40E-05,3,1315.331684
14,8.953258,4,1315.331684
15,0,1,1334.857945
15,5.9995,2,1334.857945
15,5.40E-05,3,1334.857945
16,0,1,1343.929325
16,6.688063,2,1343.929325
16,4.90E-05,3,1343.929325
17,12.196881,0,1323.331312
17,0,1,1323.331312
17,3.812274,2,1323.331312
17,299.791857,3,1323.331312
18,0,1,1323.004125
18,8.726037,2,1323.004125
18,3.90E-05,3,1323.004125
19,0,1,1593.657908
19,8.212749,2,1593.657908
19,3.90E-05,3,1593.657908
20,0,1,1325.384945
20,2.670665,2,1325.384945
20,474.676644,3,1325.384945
21,0,1,1335.265541
21,15.637458,2,1335.265541
21,4.00E-05,3,1335.265541
22,0,1,1395.978444
23,0,1,1285.217635
23,6.881301,2,1285.217635
23,0.000101,3,1285.217635
23,12.575332,4,1285.217635
24,0,1,2434.999301
24,2.145808,2,2434.999301
24,5.90E-05,3,2434.999301
25,0,1,1262.327966
25,7.10401,2,1262.327966
25,8.840572,3,1262.327966
25,14.859776,4,1262.327966
26,0,1,1319.863465
26,5.537805,2,1319.863465
26,1117.055102,3,1319.863465
27,0,1,1317.338041
27,10.479381,2,1317.338041
27,1172.977412,3,1317.338041
28,0,1,1317.451716
28,9.639729,2,1317.451716
28,1172.841644,3,1317.451716
29,0,1,1320.037791
29,8.489842,2,1320.037791
